time,price,quantity,totalq,position,b1price,b1size,s1price,s1size,bors
2016-03-25 8:59:00,9285,860,860,400732,0,0,0,0,B
2016-03-25 9:00:00,9295,284,1144,64,9285,45,9295,12,B
2016-03-25 9:00:01,9295,406,1550,70,9290,105,9295,5,B
2016-03-25 9:00:01.5,9300,296,1846,44,9295,233,9300,55,B
2016-03-25 9:00:02,9300,358,2204,-44,9300,40,9305,83,B
2016-03-25 9:00:02.5,9305,282,2486,-116,9305,24,9310,257,B
2016-03-25 9:00:03,9305,376,2862,182,9300,60,9305,9,B
2016-03-25 9:00:03.5,9305,138,3000,-64,9300,91,9305,28,B
2016-03-25 9:00:04,9300,310,3310,-44,9295,162,9300,20,S
2016-03-25 9:00:04.5,9300,154,3464,4,9300,16,9305,15,S
2016-03-25 9:00:05,9300,410,3874,-126,9300,27,9305,100,S
2016-03-25 9:00:05.5,9300,248,4122,-106,9295,50,9300,8,S
2016-03-25 9:00:06,9290,230,4352,20,9290,75,9295,57,S
2016-03-25 9:00:06.5,9300,338,4690,34,9295,1,9300,146,B
2016-03-25 9:00:07,9295,150,4840,-134,9290,29,9295,110,S
2016-03-25 9:00:08,9295,64,4904,-20,9290,35,9295,54,S
2016-03-25 9:00:08.3333,9290,110,5014,-84,9290,94,9295,84,S
2016-03-25 9:00:08.6667,9290,130,5144,-48,9290,91,9295,33,S
2016-03-25 9:00:09,9295,158,5302,28,9295,193,9300,184,B
2016-03-25 9:00:10,9305,368,5670,28,9300,7,9305,41,B
2016-03-25 9:00:10.3333,9300,40,5710,-8,9300,40,9305,44,S
2016-03-25 9:00:10.6667,9300,100,5810,22,9300,59,9305,36,S
2016-03-25 9:00:11,9305,34,5844,26,9300,40,9305,35,B
2016-03-25 9:00:12,9300,282,6126,-144,9300,122,9305,53,S
2016-03-25 9:00:12.5,9300,26,6152,2,9300,114,9305,55,S
2016-03-25 9:00:13,9300,354,6506,40,9295,233,9300,360,S
2016-03-25 9:00:13.5,9300,178,6684,100,9295,241,9300,274,S
2016-03-25 9:00:14,9295,736,7420,16,9290,87,9300,60,S
2016-03-25 9:00:14.5,9295,264,7684,134,9290,53,9295,388,S
2016-03-25 9:00:15,9295,264,7948,134,9290,119,9295,283,S
2016-03-25 9:00:15.5,9290,274,8222,176,9285,253,9295,301,S
2016-03-25 9:00:16,9290,62,8284,32,9285,332,9290,25,S
2016-03-25 9:00:16.5,9295,260,8544,150,9290,12,9295,212,B
2016-03-25 9:00:17,9295,368,8912,366,9290,20,9295,72,B
2016-03-25 9:00:17.5,9295,92,9004,84,9290,40,9295,25,B
2016-03-25 9:00:18,9295,68,9072,-6,9290,115,9300,108,B
2016-03-25 9:00:18.5,9295,4,9076,4,9295,51,9300,108,B
2016-03-25 9:00:19,9295,16,9092,12,9295,109,9300,108,B
2016-03-25 9:00:19.5,9300,238,9330,206,9300,161,9305,46,B
2016-03-25 9:00:20,9310,160,9490,72,9305,17,9310,329,B
2016-03-25 9:00:20.5,9300,268,9758,-26,9300,155,9305,59,S
2016-03-25 9:00:21,9300,122,9880,-78,9295,58,9300,77,S
2016-03-25 9:00:21.5,9300,42,9922,18,9295,48,9300,124,S
2016-03-25 9:00:22,9300,42,9964,-12,9295,37,9300,117,S
2016-03-25 9:00:22.5,9295,212,10176,-72,9290,21,9295,33,S
2016-03-25 9:00:23,9295,196,10372,6,9295,163,9300,118,S
2016-03-25 9:00:23.5,9300,100,10472,46,9295,202,9300,35,B
2016-03-25 9:00:24,9295,576,11048,428,9290,133,9295,241,S
