date,time,price,quantity,totalq,position,b1price,b1size,s1price,s1size,bors
2018-02-01,08:59:00.500,7492,42,42,36592,0,0,0,0,B
2018-02-01,09:00:00.3,7493,20,62,-4,7492,10,7494,1,B
2018-02-01,09:00:00.6,7492,4,66,-4,7492,8,7494,1,S
2018-02-01,09:00:00.8,7492,4,70,-2,7492,7,7494,1,S
2018-02-01,09:00:01,7495,4,74,2,7493,10,7495,3,B
2018-02-01,09:00:01,7493,20,94,0,7492,2,7495,8,S
2018-02-01,09:00:01,7495,12,106,-2,7493,1,7495,3,B
2018-02-01,09:00:01,7495,6,112,-6,7493,1,7494,1,B
2018-02-01,09:00:02,7494,2,114,0,7492,2,7495,2,S
2018-02-01,09:00:02,7495,2,116,0,7493,5,7495,1,B
2018-02-01,09:00:02,7495,2,118,0,7493,5,7496,2,B
2018-02-01,09:00:02,7495,2,120,0,7494,1,7496,2,B
2018-02-01,09:00:02,7496,2,122,0,7494,2,7496,1,B
2018-02-01,09:00:03,7494,2,124,2,7494,1,7495,1,S
2018-02-01,09:00:03,7495,2,126,0,7494,1,7496,1,B
2018-02-01,09:00:03,7495,2,128,0,7494,1,7496,1,B
2018-02-01,09:00:04,7494,2,130,0,7494,1,7496,1,S
2018-02-01,09:00:04,7496,4,134,0,7493,10,7495,1,B
2018-02-01,09:00:04,7499,26,160,-18,7496,1,7498,2,B
2018-02-01,09:00:04,7499,6,166,0,7497,1,7499,9,B
2018-02-01,09:00:05,7497,2,168,-2,7496,1,7499,9,S
2018-02-01,09:00:05,7499,2,170,0,7497,1,7499,8,B
2018-02-01,09:00:06,7497,2,172,0,7496,2,7498,1,S
2018-02-01,09:00:06,7497,2,174,-2,7497,4,7498,1,S
2018-02-01,09:00:06,7498,2,176,-2,7497,4,7499,9,B
2018-02-01,09:00:08,7498,2,178,0,7497,4,7498,1,B
2018-02-01,09:00:08,7498,2,180,0,7497,4,7499,10,B
2018-02-01,09:00:08,7497,8,188,0,7496,2,7497,1,S
2018-02-01,09:00:08,7497,2,190,2,7496,2,7497,1,S
2018-02-01,09:00:09,7497,2,192,-2,7496,5,7497,2,S
2018-02-01,09:00:09,7497,2,194,0,7496,5,7497,1,S
2018-02-01,09:00:10,7497,2,196,2,7496,2,7498,1,S
2018-02-01,09:00:10,7496,2,198,0,7496,3,7497,1,S
2018-02-01,09:00:11,7497,2,200,0,7496,5,7497,1,B
2018-02-01,09:00:11,7496,4,204,2,7496,3,7497,1,S
2018-02-01,09:00:12,7496,6,210,0,7495,3,7497,5,S
2018-02-01,09:00:14,7495,2,212,0,7495,2,7497,5,S
2018-02-01,09:00:14,7497,10,222,-2,7497,5,7498,8,B
2018-02-01,09:00:14,7497,12,234,0,7495,2,7498,13,B
2018-02-01,09:00:14,7496,2,236,2,7496,1,7498,10,S
2018-02-01,09:00:15,7497,2,238,2,7496,2,7498,10,B
2018-02-01,09:00:16,7497,2,240,2,7496,3,7498,10,B
2018-02-01,09:00:16,7498,2,242,2,7496,2,7498,9,B
2018-02-01,09:00:16,7496,6,248,0,7495,3,7497,8,S
2018-02-01,09:00:17,7497,2,250,0,7495,3,7497,7,B
2018-02-01,09:00:18,7497,2,252,0,7495,3,7496,3,B
2018-02-01,09:00:18,7497,20,272,0,7495,3,7497,1,B
2018-02-01,09:00:19,7496,2,274,0,7495,3,7497,2,S
2018-02-01,09:00:19,7497,2,276,2,7495,2,7497,2,B
2018-02-01,09:00:20,7497,2,278,2,7495,2,7497,4,B
2018-02-01,09:00:20,7494,8,286,0,7493,10,7495,19,S
2018-02-01,09:00:20,7493,4,290,0,7493,8,7495,19,S
2018-02-01,09:00:20,7495,2,292,-2,7493,8,7495,18,B
2018-02-01,09:00:21,7495,14,306,0,7493,9,7495,11,B
2018-02-01,09:00:22,7493,2,308,0,7493,8,7495,11,S
2018-02-01,09:00:25,7493,2,310,2,7493,10,7495,11,S
2018-02-01,09:00:26,7493,22,332,-14,7492,6,7495,1,S
2018-02-01,09:00:29,7495,2,334,-2,7494,4,7495,2,B
2018-02-01,09:00:30,7494,14,348,0,7492,1,7494,14,S
2018-02-01,09:00:31,7492,2,350,0,7491,14,7492,22,S
2018-02-01,09:00:32,7491,28,378,28,7490,13,7491,6,S
2018-02-01,09:00:32,7490,12,390,6,7490,7,7491,5,S
