date,time,price,quantity,totalq,position,b1price,b1size,s1price,s1size,bors
2018-01-05,20:59:00,3623.0,20,20,330908,0.0,0,0.0,0,B
2018-01-05,21:00:00,3623.0,14,34,8,3621.0,2,3622.0,11,B
2018-01-05,21:00:01,3621.0,38,72,0,3620.0,1,3621.0,41,S
2018-01-05,21:00:01,3622.0,90,162,-6,3619.0,1,3622.0,19,B
2018-01-05,21:00:02,3619.0,64,226,20,3619.0,1,3621.0,1,S
2018-01-05,21:00:02,3622.0,160,386,120,3621.0,13,3622.0,2,B
2018-01-05,21:00:03,3622.0,42,428,-2,3621.0,19,3622.0,4,B
2018-01-05,21:00:03,3625.0,28,456,-22,3622.0,7,3624.0,1,B
2018-01-05,21:00:04,3621.0,62,518,-22,3621.0,2,3623.0,1,S
2018-01-05,21:00:04,3623.0,2,520,-2,3621.0,7,3622.0,1,B
2018-01-05,21:00:05,3623.0,14,534,-14,3621.0,13,3622.0,1,B
2018-01-05,21:00:05,3622.0,38,572,-22,3622.0,3,3624.0,6,S
2018-01-05,21:00:06,3624.0,10,582,4,3621.0,7,3622.0,2,B
2018-01-05,21:00:06,3622.0,4,586,-4,3621.0,7,3624.0,4,S
2018-01-05,21:00:07,3621.0,2,588,0,3621.0,6,3623.0,1,S
2018-01-05,21:00:07,3623.0,4,592,-2,3621.0,5,3623.0,13,B
2018-01-05,21:00:08,3623.0,6,598,0,3621.0,6,3623.0,1,B
2018-01-05,21:00:08,3623.0,14,612,-2,3621.0,7,3624.0,2,B
2018-01-05,21:00:09,3624.0,6,618,-4,3623.0,3,3624.0,1,B
2018-01-05,21:00:10,3624.0,22,640,18,3623.0,9,3625.0,52,B
2018-01-05,21:00:10,3626.0,152,792,52,3624.0,2,3626.0,81,B
2018-01-05,21:00:11,3625.0,10,802,-6,3624.0,6,3626.0,77,S
2018-01-05,21:00:11,3626.0,16,818,0,3625.0,4,3626.0,72,B
2018-01-05,21:00:12,3626.0,54,872,-40,3624.0,14,3626.0,45,B
2018-01-05,21:00:12,3626.0,76,948,-58,3625.0,22,3626.0,7,B
