datetime,price,quantity,totalq,position,b1price,b1size,s1price,s1size,bors
2018-03-30 21:00:06,13700.0,8,8,50742,0.0,0,0.0,0,B
2018-03-30 21:00:07,13680.0,2,10,-2,13665.0,1,13695.0,16,S
2018-03-30 21:00:09,13660.0,6,16,-2,13635.0,2,13675.0,17,S
2018-03-30 21:00:10,13650.0,2,18,-2,13635.0,2,13665.0,6,S
2018-03-30 21:00:10,13645.0,4,22,-4,13635.0,2,13660.0,4,S
2018-03-30 21:00:12,13660.0,2,24,2,13640.0,1,13665.0,4,B
2018-03-30 21:00:15,13665.0,4,28,4,13640.0,1,13670.0,1,B
2018-03-30 21:00:19,13645.0,4,32,0,13640.0,1,13665.0,4,S
2018-03-30 21:00:19,13640.0,2,34,0,13640.0,1,13660.0,1,S
2018-03-30 21:00:20,13650.0,2,36,-2,13640.0,1,13660.0,1,B
2018-03-30 21:00:22,13660.0,2,38,0,13665.0,1,13675.0,63,B
2018-03-30 21:00:23,13665.0,2,40,-2,13645.0,1,13675.0,63,B
2018-03-30 21:00:30,13650.0,4,44,0,13650.0,1,13670.0,1,S
2018-03-30 21:00:38,13660.0,2,46,2,13650.0,6,13665.0,51,B
2018-03-30 21:00:39,13650.0,12,58,4,13645.0,6,13650.0,45,S
2018-03-30 21:00:40,13650.0,4,62,0,13645.0,6,13650.0,43,S
2018-03-30 21:00:40,13650.0,6,68,6,13645.0,8,13650.0,40,S
2018-03-30 21:00:41,13650.0,80,148,24,13650.0,3,13670.0,5,S
2018-03-30 21:00:45,13650.0,4,152,4,13655.0,2,13670.0,1,S
2018-03-30 21:00:48,13670.0,2,154,-2,13655.0,3,13680.0,24,B
2018-03-30 21:00:57,13685.0,4,158,2,13655.0,36,13695.0,12,B
2018-03-30 21:01:01,13695.0,4,162,2,13695.0,2,13710.0,9,B
2018-03-30 21:01:02,13695.0,8,170,2,13690.0,8,13735.0,1,B
2018-03-30 21:01:02,13720.0,2,172,0,13700.0,1,13735.0,1,B
2018-03-30 21:01:10,13710.0,2,174,0,13710.0,4,13715.0,1,S
2018-03-30 21:01:11,13710.0,2,176,2,13710.0,3,13715.0,1,S
2018-03-30 21:01:14,13710.0,6,182,0,13705.0,3,13715.0,1,S
2018-03-30 21:01:37,13710.0,2,184,0,13690.0,1,13710.0,7,S
2018-03-30 21:01:55,13705.0,2,186,2,13695.0,1,13705.0,1,S
2018-03-30 21:02:05,13695.0,2,188,0,13690.0,4,13700.0,1,S
