date,time,price,quantity,totalq,position,b1price,b1size,s1price,s1size,bors
2018-01-31,20:59:00,5807,300,300,535878,0,0,0,0,B
2018-01-31,21:00:00,5807,78,378,56,5806,111,5807,24,B
2018-01-31,21:00:00,5806,2,380,-2,5806,110,5807,24,S
2018-01-31,21:00:00,5805,404,784,-44,5805,46,5806,86,S
2018-01-31,21:00:00,5805,138,922,52,5805,2,5806,105,S
2018-01-31,21:00:00,5805,76,998,-66,5805,57,5806,79,S
2018-01-31,21:00:01,5805,144,1142,-68,5805,39,5806,91,S
2018-01-31,21:00:01,5806,34,1176,-4,5805,30,5806,90,B
2018-01-31,21:00:01,5806,128,1304,-30,5805,26,5806,67,B
2018-01-31,21:00:01,5807,242,1546,4,5806,31,5807,32,B
2018-01-31,21:00:01,5807,100,1646,-18,5806,4,5807,23,B
2018-01-31,21:00:01,5807,46,1692,-12,5806,6,5807,22,B
2018-01-31,21:00:02,5806,72,1764,2,5805,74,5806,80,S
2018-01-31,21:00:02,5807,178,1942,-16,5806,33,5807,26,B
2018-01-31,21:00:02,5807,52,1994,-24,5806,34,5807,9,B
2018-01-31,21:00:02,5808,74,2068,-30,5807,8,5808,12,B
2018-01-31,21:00:03,5810,130,2198,-34,5809,207,5810,23,B
2018-01-31,21:00:03,5809,16,2214,-12,5809,201,5810,25,S
2018-01-31,21:00:03,5809,10,2224,-4,5809,198,5810,23,S
2018-01-31,21:00:03,5809,12,2236,-12,5809,192,5810,23,S
2018-01-31,21:00:03,5809,28,2264,-8,5809,179,5810,22,S
2018-01-31,21:00:04,5810,8,2272,-6,5809,176,5810,22,B
2018-01-31,21:00:04,5810,2,2274,-2,5809,176,5810,21,B
2018-01-31,21:00:04,5810,2,2276,-2,5809,176,5810,21,B
2018-01-31,21:00:04,5810,448,2724,-344,5808,15,5810,10,B
2018-01-31,21:00:04,5810,2,2726,0,5809,23,5810,10,B
2018-01-31,21:00:04,5810,10,2736,0,5809,33,5810,5,B
2018-01-31,21:00:05,5809,6,2742,-2,5809,31,5810,6,S
2018-01-31,21:00:05,5807,120,2862,94,5808,8,5809,24,S
2018-01-31,21:00:05,5808,46,2908,-34,5808,18,5809,3,B
2018-01-31,21:00:05,5809,6,2914,0,5809,11,5810,26,B
2018-01-31,21:00:06,5810,68,2982,-60,5810,5,5811,44,B
2018-01-31,21:00:06,5810,10,2992,0,5809,12,5810,32,B
2018-01-31,21:00:06,5809,6,2998,-6,5809,11,5810,32,S
2018-01-31,21:00:06,5809,10,3008,0,5809,6,5810,32,S
2018-01-31,21:00:06,5810,10,3018,0,5809,13,5810,27,B
2018-01-31,21:00:07,5810,2,3020,-2,5809,20,5810,26,B
2018-01-31,21:00:07,5810,2,3022,0,5809,20,5810,25,B
2018-01-31,21:00:07,5811,56,3078,-48,5810,9,5811,46,B
2018-01-31,21:00:08,5811,24,3102,2,5810,7,5811,41,B
2018-01-31,21:00:08,5811,6,3108,-2,5810,8,5811,38,B
2018-01-31,21:00:08,5811,2,3110,0,5810,35,5811,31,B
2018-01-31,21:00:09,5810,6,3116,-6,5810,39,5811,29,S
2018-01-31,21:00:09,5811,60,3176,-16,5811,1,5812,82,B
2018-01-31,21:00:09,5810,16,3192,0,5810,39,5812,80,S
2018-01-31,21:00:09,5808,440,3632,-116,5808,1,5809,11,S
2018-01-31,21:00:10,5809,26,3658,-4,5808,11,5809,16,B
2018-01-31,21:00:10,5808,32,3690,-2,5807,34,5808,78,S
2018-01-31,21:00:10,5808,12,3702,-10,5807,28,5808,77,S
2018-01-31,21:00:10,5807,10,3712,0,5807,30,5808,96,S
2018-01-31,21:00:11,5808,4,3716,-2,5807,30,5808,94,B
2018-01-31,21:00:11,5807,4,3720,0,5807,28,5808,94,S
