index,date,open,close,high,low,vol
0,20180402,13700.0,13695.0,13745.0,13565.0,10096
1,20180403,13695.0,13510.0,13750.0,13465.0,15078
2,20180404,13535.0,13415.0,13550.0,13380.0,12764
3,20180409,13485.0,13510.0,13575.0,13435.0,10346
4,20180410,13525.0,13650.0,13700.0,13490.0,12324
5,20180411,13655.0,13525.0,13705.0,13465.0,11312
6,20180412,13540.0,13545.0,13615.0,13410.0,15814
7,20180413,13510.0,13590.0,13650.0,13500.0,11836
8,20180416,13585.0,13215.0,13630.0,13105.0,21430
9,20180417,13200.0,13145.0,13285.0,13110.0,14924
10,20180418,13160.0,13235.0,13295.0,13160.0,12982
11,20180419,13260.0,13800.0,13850.0,13260.0,40814
12,20180420,13765.0,13515.0,13805.0,13450.0,30444
13,20180423,13485.0,13535.0,13695.0,13455.0,34118
14,20180424,13435.0,13420.0,13535.0,13270.0,25124
15,20180425,13435.0,13530.0,13610.0,13410.0,20366
16,20180426,13535.0,13440.0,13550.0,13370.0,31716
17,20180427,13440.0,13280.0,13480.0,13150.0,37076
